brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
13307,Mikkeller ApS,1317606533,4.0,4.5,4.5,Ghenna,American Barleywine,3.5,3.5,Big Worst,18.5,56831
126,Pete's Brewing Company,1195281294,2.5,3.0,3.5,hwwty4,Cream Ale,3.0,2.5,Pete's Wicked Wanderlust Cream Ale,5.6,19950
203,Greene King / Morland Brewery,1224109943,4.0,3.5,4.0,dsa7783,English Pale Ale,3.5,3.5,Abbot Ale,5.0,910
167,Brewery Lobkowicz,1070489226,4.5,4.0,3.5,TastyTaste,Czech Pilsener,4.0,4.5,Lobkowicz Knight,4.8,444
664,Wells & Young's Ltd,1172208746,5.0,4.0,5.0,BadRockBeer,Milk / Sweet Stout,5.0,5.0,Young's Double Chocolate Stout,5.2,73
30,Avery Brewing Company,1161643310,3.5,4.5,4.5,AaronHomoya,Quadrupel (Quad),4.0,4.0,The Reverend,10.0,2014
22,Unibroue,1215184654,3.0,2.5,3.0,cvstrickland,Fruit / Vegetable Beer,3.0,3.0,Éphémère (Apple),5.5,3523
224,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,1276036822,2.0,2.5,3.0,PapaGemutlich,Munich Dunkel Lager,3.0,2.5,St. Pauli Girl Special Dark,4.8,698
10099,Dogfish Head Brewery,1192893550,3.5,4.5,4.0,jaxon53,American Barleywine,4.0,4.0,Olde School Barleywine,15.04,6533
9897,Jolly Pumpkin Artisan Ales,1288755942,4.0,4.0,4.0,Mora2000,Pumpkin Ale,4.0,4.0,La Parcela,6.0,45723
3268,O'Fallon Brewery,1121034829,3.5,3.5,2.5,Vancer,Fruit / Vegetable Beer,2.5,3.0,Wheach,5.1,24059
68,Flying Dog Brewery,1265765654,4.5,3.0,4.0,ffejherb,California Common / Steam Beer,3.5,3.5,Old Scratch Amber Lager,5.5,204
1549,Goose Island Beer Co.,1152457279,4.5,3.0,3.0,mountdew1,American Pale Wheat Ale,3.0,4.5,312 Urban Wheat,4.2,17141
345,Victory Brewing Company,1159033496,4.5,3.5,4.5,klewis,German Pilsener,4.0,4.5,Prima Pils,5.3,1010
2875,Carolina Brewery,1243248306,4.0,4.0,4.5,porterwoobie,American Amber / Red Ale,3.5,4.0,Copperline Amber Ale,3.9,8373
